Perfil,Tweet,Sentimento,Tópico
Edfluzao1,"Mais um jogo ruim de Diniz
Antonio Carlos tem q jogar no olaria
Kauan elias pode voltar p sub 20",-0.89,Crítica ao técnico
Edfluzao1,"Mais um jogo ruim de Diniz
Antonio Carlos tem q jogar no olaria
Kauan elias pode voltar p sub 20",-0.95,Crítica ao treinador e jogadores
_CariocaFlu,Fez o mínimo aceitável pra ter como poupar na volta também... pelo menos isso da pra arrumar.,-0.67,"Crítico, realista, otimista"
Nicolas997,"Primeira vez esse ano que fico puto com a vitoria do flu esse ano, ganhamos, mas perdemos MTS chances claras. demora pra fazer as mexidas . confesso que n me convenceu nem um pouco contra o galo.",-0.45,Vitória sem brilho
ffcgabrieeel,"não fez mais que a obrigação, seguimos.",-0.68,"Dever cumprido, seguimos"
gmarchiori,Até o Árias tá ficando perdido já nesse time. Não tem uma jogada treinada. Só treinam tocar a bola e quando estão com ela não sabem o que fazer.,-0.79,Falta de padrão tático
HenrySullivan,"Todos de acordo que o Felipe Andrade não deve sair do time titular NUNCA MAIS, certo?",0.5,Mantém Andrade titular
pinheirofelipeq,não fez mais do que a sua obrigação.,-0.55,Obrigação cumprida
SandroMont,Lição de casa feita. O verdadeiro teste é sábado. Eu ainda acredito.,-0.79,Confiança no tricolor
FASBisneto,"Boa, vamos dar a volta por cima!",0.53,Vamos virar o jogo
MarioBitcoin_,"torcida e time, precisamos mudar essa fase! sábado é cariacica lotado e VITORIA nessa porra, voltar as vitórias.",0.65,Vitória e mudança
vivisffc,parabéns por fazer a sua obrigação mas não convenceu ninguém,-0.78,"Dever cumprido, não convence"
DanielBernar,"Muito bem, melhorou de péssimo pro ruim.",-0.33,Progresso moderado
BenildoMedeiros,"Que bom que venceu e que tivemos lguns chutes a gol, mas como chutam mal em? Será quem alguém ai treina finalização?",-0.83,Falta de pontaria
lfquitete,que atuação fraca e podre contra uma time da SÉRIE C! Falta tesão nesse time.,-0.75,Crítica ao desempenho
rcoutogames,"Temos que ser sinceros, com toda humildade o Sampaio Correia não serve pra parâmetro né ...... Mas estou feliz com a vitória",-0.35,Humildade e reconhecimento
franchaves131,Fim de jogo Fluzão goleia o Sampaio correia da terceira divisão que vendeu seu mando de campo. Senhor tem como o adiar a próxima partida do fluminense contra o Atlético MG. Amém  obrigado,0.8,Ironia e humor
maxim_hugo7,"Venceu, mas que jogo feio ein. Vamos melhorar isso aí.",-0.85,"Vitória, mas crítica"
masalaju,parabéns por fazer a obrigação,-0.07,Ironia sem graça
PedrorHenrique_,"jogo sofrível de se ver

não fizeram mais do que a obrigação",-0.55,Vitória sem brilho
OliYago11,"Foi uma vitória melancólica, que jogo horroroso, cara. Mas pelo menos venceu, isso que importa.",-0.56,"Vitória melancólica, jogo ruim"
maxim_hugo7,"Venceu, mas que jogo feio ein. Vamos melhorar isso aí.",-0.5,"Jogo feio, vamos melhorar"
masalaju,parabéns por fazer a obrigação,-0.8,Resposta irônica
PedrorHenrique_,"jogo sofrível de se ver

não fizeram mais do que a obrigação",-0.41,Crítica velada negativa
OliYago11,"Foi uma vitória melancólica, que jogo horroroso, cara. Mas pelo menos venceu, isso que importa.",-0.23,"Vitória melancólica, jogo ruim"
CarlosV07338462,"@TimeDiniz @oflumedomina @phganso @MarceloM12 @jhonariasa @Germancanoofi
 BOA NOITE,
VENCEMOS MAIS Ñ CONVENCEMOS.
O PRÓXIMO ADVERSÁRIO É O TIME Q ESTA JOGANDO O MELHOR FUTEBOL ATUALMENTE,
SE JOGARMOS ESSA BOLINHA VAMOS LEVAR OUTRA GOLEADA C/CONTRA O CORINTHIANS.",-0.9,Vitória sem empolgação
SandroMont,Fora Renato Augusto,-1.0,Fora Renato Augusto
Ricciardi_Ffc,"obrigação, jogaram nada como de costume ja",-0.75,Crítica ao desempenho
ancdiniz,Atuação fraca. Ok para o resultado. Positivo: descansamos os titulares.,0.1,Vitória com ressalvas
BrunoyFluzon,parabéns por fazer metade da sua obrigação,0.88, Ironia passivo-agressiva
mtroosevelt1,"@Atletico, O próximo é vocês, o FLUZAO VOLTOU, HEIN! HAJAHAHAAH",0.87,Fluminense triunfa
htinhaester,jogo feiao flu que isso mas que bom que venceu né,-0.2,"Crítica, mas satisfeita"
goldocano_14,venceu mas não convenceu…,0.33,Vitória insuficiente
Will_Souzaofici,O time venceu e os malucos reclamando,1.0,Vitória com reclamações
lucastyfoliveir,"Antônio Carlos não é jogador profissional, que maluco tenebroso!!!",-0.8,Resposta inadequada
Rodrigo007Silva,"Ratificando e reforçando, com esse futebol vai ser eliminado de tudo e brigar pra não cair, vai ser um Deus nos acuda contra o galo com marquinhos na direita.",-0.73,Futebol insuficiente
MarcusV95781034,"Eu amo muito você, @FluminenseFC , mesmo passando raiva com esse jogo horroroso",-0.25,Amor apesar da raiva
PJIM7N,não lembro a última vez que vi um post de vitória fluminense,1.0,Vitória esquecida do Fluminense
ObservadorNato8,"Muita obrigação!

Não muda nada.

O jogo contra o Pequeno Peter CAM que vai valer.

Aguardemos!",-0.5,Vitória do Fluminense irrelevante
Bansuke3008,No Google tá mostrando que foi gol do Terans kkkkkkkk,-0.25,Gol marcado por Terans
arnaudribeiro1,Poderíamos contratar o Thiago Alcântara que em junho sai de graça pra qualquer clube,0.0,Sugestão para contratação
moraes_bms,Não fez mais que obrigação. E ainda tinha que ter feito mais,-0.75,Crítica construtiva
rafaviana_ffc,Não fez mais do que a sua obrigação,0.75,Dever cumprido
Markosvs95,Sera que o diniz vai parar de improvisar o Martinelli??,0.0,Crítica ao treinador
rubeneelienai,Felipe Andrade é muito titular nessa zaga,0.5,Zaga titular: Andrade
whosinurhead,Não fez mais que a obrigação,-1.0,Dever cumprido
ArthurSerqueira,"oh gloria, continuar trabalhando pra melhorar. vamo q vamo",-0.43,Continuação do esforço
vieirax1902,"O mínimo de hoje era a vitória, mas continua um futebol feio de se assistir",-0.23,"Futebol bonito, não"
cllaraffc,não fez mais que a obrigação,-1.0,Obrigação cumprida
FialhoFluzao,"Time bosta em campo, não fez mais que obrigação vencer e não convenceu.",-0.89,Crítica ao desempenho do time
bemenasche1998,Não fizeram mais do que a obrigação,-1.0,Obrigação cumprida
shownorza,kkkkkk vai aprender a jogar futebol não????,-0.87,Zombaria do futebol
doreesoul,DIVA POSTA MAIS FOTO DE HOJE ANTES DO JOGO EU QUERO ME VER,0.38,Pedido de foto do jogo
ecbmurilo_,pq o jogo foi no espírito santo?,-1.0,Localização do jogo
luizzslva,@takasffc fala dele agora,1.0,Pede informação sobre o jogador
Felipejenny_,Que coisa feia meu Deus,-0.92,Inveja do sucesso
rogo32_,PRECISA MELHORAR ESSE DESEMPENHO.,-0.5,Desempenho insuficiente
biel30ffc,se jogar mal toda vez assim e vencer ta bom,-0.75,Vitória duvidosa
Eduvalcante,"Já não bastasse a gafe na camisa de Renato AGUSTO, o Fluminense nem se dá ao luxo de olhar a súmula do jogo. O juiz deu, erradamente, mas deu, gol do TERANS, e não do Lima. Muito amadorismo...",-0.83,Amadorismo e erro de súmula
defshades,"aumento pro arias, urgente",1.0,Salário para Arias urgente
JosephC06913575,Venceu? Venceu! Convenceu? Não,0.34,Vitória sem convicção
yuri_okl14,Pouco ainda era pra ter sido uns 5x0 TEM QUE MELHORAR,-0.85,Time precisa melhorar
liaju_ffc,não fez mais que a obrigação meu parceiro,-0.45,Dever cumprido.
jp_medeiroos,parabéns por fzr o mínimo,-0.85,Ironia pelo mínimo
lukazinffc,"Fizeram a obrigação, 2x0 foi o mínimo",-0.42,Cumpriram o dever
LucasPi07869408,O Lele é melhor que esse Kaua Elias,-0.43,Preferência pessoal
JV_Franco100,Atuação fraca contra um time limitado.,-1.0,Rendimento abaixo do esperado
LiLN1esta,Agr ganha sábado tbm,0.81,Vitória garantida sábado
dansfelix,"Tirando Arias, Martinelli e Felipe Andrade, demais pareciam jogando uma pelada. Terans é o único uruguaio chupa-sangue da história do futebol e Renato Augusto está morto com farofa, é ex-jogador. Valeu pela vitória mas o adversário não existe, time está mal demais.",-0.2,Crítica à equipe adversária
cardosorjb,parabéns pela obrigação,-1.0,Ironia sem graça
RC_Fhael,"Só quem ganhou nesse jogo foi quem não viu
Jogo feio da porra",-1.0,Jogo feio e chato
PaiJdasalmas,ARIAS TA JOGANDO MUITO SEM VONTADE,-1.0,Crítica ao jogador Arias
lanaffc_,"n convenceu, mas venceu",-0.5,Vitória convincente
tremfernandes,"caralho um refresco, obg aí",0.75,Gratidão pelo refresco
LaVivasoy,Saudações Tricolores!,0.87,Saudação tricolor cordial
wxjacy,fizeram o MINIMO parabéns,-0.5,Reação desdenhosa
nycollasffc,"vence, agora só falta convencer",0.5,Missão quase concluída
f_f_c22,Obrigado,1.0,Agradecimento breve
thamysotnas,se não ganhasse tbm né..,-0.95,"Lógica, irônica e provocadora"
tuitafox,venceu mas não convenceu,-0.5,Vitória insuficiente
Dnleall,Parabéns pra torcida do ES,-1.0,Parabéns à torcida capixaba
jktricolor9,automaticamente volto a me iludir,-0.63,Ilusão renovada
daltromariliaa,oxe mas o gol n foi do terans?,-0.75,Gol marcado por Terans
CesarGuimaraes4,VAMOOOOOS! NENSEEEEEE,0.89,Comemoração do triunfo
FrancharlesE,"Toda vez que ficou na toqueira sem objetividade deu merda, fica a dica.",-1.0,Cuidado com o excesso de confiança
vitib1,"jogo de merda, parabéns aos envolvidos",-0.5,Ironia do fracasso
sofaloFlu,não fez mais que a obrigação,-0.89,Dever cumprido
LuanVitorfelix3,Vence mas não convence.,-0.66,Vitória sem brilho
brunaazzx,mais q obrigação!,-0.87,Dever cumprido
JordiCDM,Equipo chico,-1.0,Resposta sarcástica
Eduardo65987156,Gol foi do Terans !,-1.0,Correção do gol
tuitafox,venceu mas não convenceu,-0.5,Vitória pouco convincente
Dnleall,Parabéns pra torcida do ES,-1.0,Parabéns torcida do ES
jktricolor9,automaticamente volto a me iludir,0.84,Ilusionismo perpétuo
daltromariliaa,oxe mas o gol n foi do terans?,-0.64,"Sim, gol do Terans"
FrancharlesE,"Toda vez que ficou na toqueira sem objetividade deu merda, fica a dica.",-0.91,Crítica sem objetividade
vitib1,"jogo de merda, parabéns aos envolvidos",-1.0,Jogo péssimo
sofaloFlu,não fez mais que a obrigação,-1.0,Dever cumprido
LuanVitorfelix3,Vence mas não convence.,-0.5,Vitória sem brilho
brunaazzx,mais q obrigação!,-0.38,"Claro, obrigado!"
JordiCDM,Equipo chico,-1.0,Desprezo por time menor
Eduardo65987156,Gol foi do Terans !,0.0,**Gol marcado por Terans**
tricolor_2000,Felipe Andrade é MUITO TITULAR.,0.78,Titularidade afirmada
f_f_c22,"Proibido chutar, simplesmente",-0.87,Chutar é proibido
SaulloISR,Não foi o Terans?,-0.5,"Terans marcou, não Arias e Lima"
mellturques_,graças a Deus,1.0,Alívio e gratidão
dudaffc7,obrigação né,-0.5,"Sim, tem obrigação"
esllynogueira,Parabéns pelo mínimo.,-0.52,Ironia sutil
iabunnyhowe,te amo,-1.0,Amor pelo Fluminense
Fluruguayo,NEEEEEEEENSEEEEEEEEE,0.97,Torcida frustrada
2fPutaria157,vm porra,-0.75,Provocação irônica
Bhering,"Foi só o Sampaio Corrêa adiantar a marcação, que o time bateu cabeça. Tirou as invenções (RA e Lima de cabeça de área) que melhoramos.",-0.45,Tática melhorou time
vicc_cvs,Não fez mais q a obrigação,-0.9,Cumpriu seu dever
LeonardoJun10r,Obrigação,1.0,"Parabéns, Fluminense!"
RetumbanteG,Seguimos,0.95,Confirmação de apoio
Luuck_FFC,fez a obrigação,1.0,"Parabéns, cumpriu o dever"
girahsupremacy,VITÓRIA FLUMINENSE,1.0,Triunfo Fluminenseiro
martinssffc,GLÓRIA A DEUS,1.0,Louvor ao divino
larissarochax,oh glória,1.0,Celebração da vitória
victoseabra,parabéns pelo mínimo,-0.8,Ironia e sarcasmo
vinnimarinzz,Cria vergonha nessa cara de vocês,-1.0,Críticas ao Fluminense
ketilafm,foi lindoooooo!!!,1.0,Resposta alegre e entusiasta
LetciaFarias17,Ah me poupe,-1.0,Ironia futebolística
dr_pastor56539,Horrível o jogo. Vai tomar sacode atlético e colo colo,-1.0,Resposta desrespeitosa
Biasilvaffc,1/10,-1.0,Nota baixa
araujo_ffc,Fora Diniz! Vai embora do meu clube,-1.0,Fora Diniz
carolinaraujo9,amém,1.0,Fé no Tricolor
paullyna_r,VAMOOOSS,1.0,Entusiasmo vibrante tricolor
AnaClar97467682,POR FAVOR NÃO VENDA O JONH KENEDY,-0.64,Implorar venda jogador
nevesmarcello,"Felipe Andrade ganha chance em posição de origem no Fluminense e se destaca: ""Passo importante"" 

>>>> https://ge.globo.com/futebol/times/fluminense/noticia/2024/05/02/felipe-andrade-ganha-chance-em-posicao-de-origem-no-fluminense-e-se-destaca-passo-importante.ghtml?utm_source=twitter&utm_medium=share-bar-mobile&utm_campaign=materias…",0.68, Destaque de Felipe Andrade
Brasileirao,"A dupla tricolor que sabe os caminhos! Juntos desde a base, no controle dos passes no #BrasileirãoBetano! 

 @SofascoreBR",1.0, Toque refinado.
brunomorales018,"Digo e repito.

Todo tricolor que estava no Maracanã, saiu de lá com a convicção de que seríamos campeões da América.

Foi a nossa melhor partida da temporada, e foi o momento que a arquibancada deixou claro que ""VAMOS TRICOLORES"" era a música da temporada.

Que noite.",1.0," ""Noite mágica"""
