Name,Handle,Tweet text,Media URL,Posted,Posted timestamp,Retweets(num),Quoted tweets(num),Likes(num),Profile image,url,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
mal encarnado,@PedrorHenrique_,,,,,,,,,,,,,271,https://twitter.com/PedrorHenrique_/status/1785776491441111499,https://twitter.com/PedrorHenrique_,"jogo sofrível de se ver

não fizeram mais do que a obrigação",1 de mai,2024-05-01T21:01:08.000Z
Louco da cabeça,@OliYago11,,,,,,,,,,,,,92,https://twitter.com/OliYago11/status/1785777241894354998,https://twitter.com/OliYago11,"Foi uma vitória melancólica, que jogo horroroso, cara. Mas pelo menos venceu, isso que importa.",1 de mai,2024-05-01T21:04:07.000Z
Hugo Amadoᶠᶠᶜ,@maxim_hugo7,,,,,,,,,,,,,289,https://twitter.com/maxim_hugo7/status/1785776552057192618,https://twitter.com/maxim_hugo7,"Venceu, mas que jogo feio ein. Vamos melhorar isso aí.",1 de mai,2024-05-01T21:01:22.000Z
Juliana,@masalaju,,,,,,,,,,,8,,793,https://twitter.com/masalaju/status/1785776644722176508,https://twitter.com/masalaju,parabéns por fazer a obrigação,1 de mai,2024-05-01T21:01:44.000Z
mal encarnado,@PedrorHenrique_,,,,,,,,,,,,,271,https://twitter.com/PedrorHenrique_/status/1785776491441111499,https://twitter.com/PedrorHenrique_,"jogo sofrível de se ver

não fizeram mais do que a obrigação",1 de mai,2024-05-01T21:01:08.000Z
Louco da cabeça,@OliYago11,,,,,,,,,,,,,92,https://twitter.com/OliYago11/status/1785777241894354998,https://twitter.com/OliYago11,"Foi uma vitória melancólica, que jogo horroroso, cara. Mas pelo menos venceu, isso que importa.",1 de mai,2024-05-01T21:04:07.000Z
Trico_Luh,@Trico_Luh,,,,,,,,,,,4,,693,https://twitter.com/Trico_Luh/status/1785776650472267854,https://twitter.com/Trico_Luh,Não fez mais que sua obrigação e mesmo assim foi um jogo sofrível pro torcedor,1 de mai,2024-05-01T21:01:46.000Z
Carlos Vasques,@CarlosV07338462,,,,,,,,,,1,,,35,https://twitter.com/CarlosV07338462/status/1785863183246200993,https://twitter.com/CarlosV07338462,"@TimeDiniz @oflumedomina @phganso @MarceloM12 @jhonariasa @Germancanoofi
 BOA NOITE,
VENCEMOS MAIS Ñ CONVENCEMOS.
O PRÓXIMO ADVERSÁRIO É O TIME Q ESTA JOGANDO O MELHOR FUTEBOL ATUALMENTE,
SE JOGARMOS ESSA BOLINHA VAMOS LEVAR OUTRA GOLEADA C/CONTRA O CORINTHIANS.",21 h,2024-05-02T02:45:37.000Z
Sandro Monteiro,@SandroMont,,,,,,,,,,,1,,67,https://twitter.com/SandroMont/status/1785780180948001227,https://twitter.com/SandroMont,Fora Renato Augusto,1 de mai,2024-05-01T21:15:47.000Z
Rafael,@Ricciardi_Ffc,,,,,,,,,,,,,93,https://twitter.com/Ricciardi_Ffc/status/1785781392988574069,https://twitter.com/Ricciardi_Ffc,"obrigação, jogaram nada como de costume ja",1 de mai,2024-05-01T21:20:36.000Z
Ana Carol Diniz,@ancdiniz,,,,,,,,,,,,,113,https://twitter.com/ancdiniz/status/1785779335913177406,https://twitter.com/ancdiniz,Atuação fraca. Ok para o resultado. Positivo: descansamos os titulares.,1 de mai,2024-05-01T21:12:26.000Z
who| campeã da libertas,@BrunoyFluzon,,,,,,,,,,,1,,70,https://twitter.com/BrunoyFluzon/status/1785776822128406784,https://twitter.com/BrunoyFluzon,parabéns por fazer metade da sua obrigação,1 de mai,2024-05-01T21:02:27.000Z
MT,@mtroosevelt1,,,,,,,,,,,,1,577,https://twitter.com/mtroosevelt1/status/1785776492049223687,https://twitter.com/mtroosevelt1,"@Atletico, O próximo é vocês, o FLUZAO VOLTOU, HEIN! HAJAHAHAAH",1 de mai,2024-05-01T21:01:08.000Z
tetewebnews,@htinhaester,,,,,,,,,,,1,,69,https://twitter.com/htinhaester/status/1785786957722787888,https://twitter.com/htinhaester,jogo feiao flu que isso mas que bom que venceu né,1 de mai,2024-05-01T21:42:43.000Z
REI DA AMÉRICA,@goldocano_14,,,,,,,,,,,1,,361,https://twitter.com/goldocano_14/status/1785776927116087563,https://twitter.com/goldocano_14,venceu mas não convenceu…,1 de mai,2024-05-01T21:02:52.000Z
Will Souza,@Will_Souzaofici,,,,,,,,,,,,,43,https://twitter.com/Will_Souzaofici/status/1785792098639172078,https://twitter.com/Will_Souzaofici,O time venceu e os malucos reclamando,1 de mai,2024-05-01T22:03:09.000Z
Lucas Oliveira,@lucastyfoliveir,,,,,,,,,,,,,135,https://twitter.com/lucastyfoliveir/status/1785777408865399076,https://twitter.com/lucastyfoliveir,"Antônio Carlos não é jogador profissional, que maluco tenebroso!!!",1 de mai,2024-05-01T21:04:47.000Z
Rodrigo Silva,@Rodrigo007Silva,,,,,,,,,,,,,119,https://twitter.com/Rodrigo007Silva/status/1785777024499392574,https://twitter.com/Rodrigo007Silva,"Ratificando e reforçando, com esse futebol vai ser eliminado de tudo e brigar pra não cair, vai ser um Deus nos acuda contra o galo com marquinhos na direita.",1 de mai,2024-05-01T21:03:15.000Z
Marcus Vinicius,@MarcusV95781034,,,,,,,,,,,,,119,https://twitter.com/MarcusV95781034/status/1785779855151288622,https://twitter.com/MarcusV95781034,"Eu amo muito você, @FluminenseFC , mesmo passando raiva com esse jogo horroroso",1 de mai,2024-05-01T21:14:30.000Z
mar¡a c!ara;,@PJIM7N,,,,,,,,,,,,,265,https://twitter.com/PJIM7N/status/1785777968758792217,https://twitter.com/PJIM7N,não lembro a última vez que vi um post de vitória fluminense,1 de mai,2024-05-01T21:07:00.000Z
A melhor e mais bonita torcida do mundo,@ObservadorNato8,,,,,,,,,,,,,109,https://twitter.com/ObservadorNato8/status/1785778458787799131,https://twitter.com/ObservadorNato8,"Muita obrigação!

Não muda nada.

O jogo contra o Pequeno Peter CAM que vai valer.

Aguardemos!",1 de mai,2024-05-01T21:08:57.000Z
Fernando,@Bansuke3008,,,,,,,,,,,,,108,https://twitter.com/Bansuke3008/status/1785776994447241697,https://twitter.com/Bansuke3008,No Google tá mostrando que foi gol do Terans kkkkkkkk,1 de mai,2024-05-01T21:03:08.000Z
arnaud,@arnaudribeiro1,,,,,,,,,,,,,49,https://twitter.com/arnaudribeiro1/status/1785837788379632095,https://twitter.com/arnaudribeiro1,Poderíamos contratar o Thiago Alcântara que em junho sai de graça pra qualquer clube,23 h,2024-05-02T01:04:42.000Z
bruno CAMPEÃO DA AMÉRICA,@moraes_bms,,,,,,,,,,,,,143,https://twitter.com/moraes_bms/status/1785777025455661480,https://twitter.com/moraes_bms,Não fez mais que obrigação. E ainda tinha que ter feito mais,1 de mai,2024-05-01T21:03:15.000Z
m benício,@MuriloDiMelo,,https://pbs.twimg.com/media/GMhadcfWEAA49wv?format=jpg&name=small,,,,,,,,,,,43,https://twitter.com/MuriloDiMelo/status/1785776720844411021,https://twitter.com/MuriloDiMelo,,1 de mai,2024-05-01T21:02:03.000Z
m benício,@MuriloDiMelo,,"https://pbs.twimg.com/media/GMhadcfWEAA49wv?format=jpg&name=small, https://pbs.twimg.com/media/GMhadcfWEAA49wv?format=jpg&name=small",,,,,,,,,,,43,https://twitter.com/MuriloDiMelo/status/1785776720844411021,https://twitter.com/MuriloDiMelo,,1 de mai,2024-05-01T21:02:03.000Z
Farrael,@rafaviana_ffc,,,,,,,,,,,,,53,https://twitter.com/rafaviana_ffc/status/1785776760732135630,https://twitter.com/rafaviana_ffc,Não fez mais do que a sua obrigação,1 de mai,2024-05-01T21:02:12.000Z
Marcos Vinicius,@Markosvs95,,,,,,,,,,,,,4,https://twitter.com/Markosvs95/status/1786054524462842268,https://twitter.com/Markosvs95,Sera que o diniz vai parar de improvisar o Martinelli??,9 h,2024-05-02T15:25:56.000Z
Rúben Elienai,@rubeneelienai,,,,,,,,,,,,,64,https://twitter.com/rubeneelienai/status/1785777735865897107,https://twitter.com/rubeneelienai,Felipe Andrade é muito titular nessa zaga,1 de mai,2024-05-01T21:06:05.000Z
di,@whosinurhead,,,,,,,,,,,,,36,https://twitter.com/whosinurhead/status/1785779873723650094,https://twitter.com/whosinurhead,Não fez mais que a obrigação,1 de mai,2024-05-01T21:14:34.000Z
arthur ᶠᶠᶜ,@ArthurSerqueira,,,,,,,,,,,,,123,https://twitter.com/ArthurSerqueira/status/1785776576044454180,https://twitter.com/ArthurSerqueira,"oh gloria, continuar trabalhando pra melhorar. vamo q vamo",1 de mai,2024-05-01T21:01:28.000Z
Daniel ᶠᶠᶜ,@vieirax1902,,,,,,,,,,,,,69,https://twitter.com/vieirax1902/status/1785777360903557327,https://twitter.com/vieirax1902,"O mínimo de hoje era a vitória, mas continua um futebol feio de se assistir",1 de mai,2024-05-01T21:04:35.000Z
cLLara,@cllaraffc,,,,,,,,,,,,,57,https://twitter.com/cllaraffc/status/1785777678403981503,https://twitter.com/cllaraffc,não fez mais que a obrigação,1 de mai,2024-05-01T21:05:51.000Z
Ricardo Fialho,@FialhoFluzao,,,,,,,,,,,,,56,https://twitter.com/FialhoFluzao/status/1785776970967457918,https://twitter.com/FialhoFluzao,"Time bosta em campo, não fez mais que obrigação vencer e não convenceu.",1 de mai,2024-05-01T21:03:02.000Z
#ForaDiniz,@bemenasche1998,,,,,,,,,,,,,125,https://twitter.com/bemenasche1998/status/1785776432167166231,https://twitter.com/bemenasche1998,Não fizeram mais do que a obrigação,1 de mai,2024-05-01T21:00:54.000Z
Mvᶠᶠᶜ,@shownorza,,,,,,,,,,,,,53,https://twitter.com/shownorza/status/1785814828155564361,https://twitter.com/shownorza,kkkkkk vai aprender a jogar futebol não????,1 de mai,2024-05-01T23:33:28.000Z
Dom Romero,@DomRomero84,,,,,,,,,,,,,51,https://twitter.com/DomRomero84/status/1785776576325431368,https://twitter.com/DomRomero84,Fogo feio da porra,1 de mai,2024-05-01T21:01:28.000Z
lexi,@doreesoul,,,,,,,,,,,,,126,https://twitter.com/doreesoul/status/1785778159675232733,https://twitter.com/doreesoul,DIVA POSTA MAIS FOTO DE HOJE ANTES DO JOGO EU QUERO ME VER,1 de mai,2024-05-01T21:07:46.000Z
murilo,@ecbmurilo_,,,,,,,,,,,,1,81,https://twitter.com/ecbmurilo_/status/1785782397901971894,https://twitter.com/ecbmurilo_,pq o jogo foi no espírito santo?,1 de mai,2024-05-01T21:24:36.000Z
luiz,@luizzslva,,,,,,,,,,,,1,35,https://twitter.com/luizzslva/status/1785858534720106551,https://twitter.com/luizzslva,@takasffc fala dele agora,22 h,2024-05-02T02:27:08.000Z
Felipe Jenny,@Felipejenny_,,,,,,,,,,,,,54,https://twitter.com/Felipejenny_/status/1785777709471166774,https://twitter.com/Felipejenny_,Que coisa feia meu Deus,1 de mai,2024-05-01T21:05:58.000Z
Rodrigo,@rogo32_,,,,,,,,,,,,,8,https://twitter.com/rogo32_/status/1785791179231031567,https://twitter.com/rogo32_,PRECISA MELHORAR ESSE DESEMPENHO.,1 de mai,2024-05-01T21:59:30.000Z
30,@biel30ffc,,,,,,,,,,,,,93,https://twitter.com/biel30ffc/status/1785779788021457355,https://twitter.com/biel30ffc,se jogar mal toda vez assim e vencer ta bom,1 de mai,2024-05-01T21:14:14.000Z
Luiz Eduardo,@Eduvalcante,,,,,,,,,,,,,26,https://twitter.com/Eduvalcante/status/1785990844719194329,https://twitter.com/Eduvalcante,"Já não bastasse a gafe na camisa de Renato AGUSTO, o Fluminense nem se dá ao luxo de olhar a súmula do jogo. O juiz deu, erradamente, mas deu, gol do TERANS, e não do Lima. Muito amadorismo...",13 h,2024-05-02T11:12:54.000Z
pauly futura enfermeira de saúde da família,@defshades,,,,,,,,,,,,,51,https://twitter.com/defshades/status/1785808720326283304,https://twitter.com/defshades,"aumento pro arias, urgente",1 de mai,2024-05-01T23:09:12.000Z
Joseph Castro,@JosephC06913575,,,,,,,,,,,1,,22,https://twitter.com/JosephC06913575/status/1785792747871273170,https://twitter.com/JosephC06913575,Venceu? Venceu! Convenceu? Não,1 de mai,2024-05-01T22:05:44.000Z
𝕵𝖔𝖌𝖆𝖉𝖔𝖗 𝖇𝖔𝖑𝖆 𝖉𝖊 𝖔𝖚𝖗𝖔,@yuri_okl14,,,,,,,,,,,,,266,https://twitter.com/yuri_okl14/status/1785776552313081973,https://twitter.com/yuri_okl14,Pouco ainda era pra ter sido uns 5x0 TEM QUE MELHORAR,1 de mai,2024-05-01T21:01:22.000Z
julia,@liaju_ffc,,,,,,,,,,,,,174,https://twitter.com/liaju_ffc/status/1785777550234460352,https://twitter.com/liaju_ffc,não fez mais que a obrigação meu parceiro,1 de mai,2024-05-01T21:05:20.000Z
jpzin,@jp_medeiroos,,,,,,,,,,,,,33,https://twitter.com/jp_medeiroos/status/1785777107760525686,https://twitter.com/jp_medeiroos,parabéns por fzr o mínimo,1 de mai,2024-05-01T21:03:35.000Z
lucas,@lukazinffc,,,,,,,,,,,,,77,https://twitter.com/lukazinffc/status/1785778577117421683,https://twitter.com/lukazinffc,"Fizeram a obrigação, 2x0 foi o mínimo",1 de mai,2024-05-01T21:09:25.000Z
Lucas Pires,@LucasPi07869408,,,,,,,,,,,,,50,https://twitter.com/LucasPi07869408/status/1785776847852019859,https://twitter.com/LucasPi07869408,O Lele é melhor que esse Kaua Elias,1 de mai,2024-05-01T21:02:33.000Z
João Victor,@JV_Franco100,,,,,,,,,,,,,88,https://twitter.com/JV_Franco100/status/1785780247062876362,https://twitter.com/JV_Franco100,Atuação fraca contra um time limitado.,1 de mai,2024-05-01T21:16:03.000Z
Vini campeão da América,@LiLN1esta,,,,,,,,,,,,,134,https://twitter.com/LiLN1esta/status/1785776523535847568,https://twitter.com/LiLN1esta,Agr ganha sábado tbm,1 de mai,2024-05-01T21:01:15.000Z
Danilo Félix,@dansfelix,,,,,,,,,,,,,250,https://twitter.com/dansfelix/status/1785776632092835935,https://twitter.com/dansfelix,"Tirando Arias, Martinelli e Felipe Andrade, demais pareciam jogando uma pelada. Terans é o único uruguaio chupa-sangue da história do futebol e Renato Augusto está morto com farofa, é ex-jogador. Valeu pela vitória mas o adversário não existe, time está mal demais.",1 de mai,2024-05-01T21:01:41.000Z
brenda ᶠᶠᶜ,@cardosorjb,,,,,,,,,,,,,73,https://twitter.com/cardosorjb/status/1785778331545379150,https://twitter.com/cardosorjb,parabéns pela obrigação,1 de mai,2024-05-01T21:08:27.000Z
Fhael,@RC_Fhael,,,,,,,,,,,,,29,https://twitter.com/RC_Fhael/status/1785795087034708394,https://twitter.com/RC_Fhael,"Só quem ganhou nesse jogo foi quem não viu
Jogo feio da porra",1 de mai,2024-05-01T22:15:01.000Z
Helton Braga,@PaiJdasalmas,,,,,,,,,,,,,10,https://twitter.com/PaiJdasalmas/status/1785777532568023228,https://twitter.com/PaiJdasalmas,ARIAS TA JOGANDO MUITO SEM VONTADE,1 de mai,2024-05-01T21:05:16.000Z
