Nome do Usuário,Perfil do Twitter,Tweet Original,URL Imagem Anexada,Timestamp Data de Postagem,Link do Tweet Original,Link da Resposta,Link do Perfil do Twitter,Conteúdo da Resposta,Timestamp Data de Postagem da Resposta
Marco Nogueira,@Nog__Marco,,,,,https://twitter.com/Nog__Marco/status/1785776940319641840,https://twitter.com/Nog__Marco,"Mais um péssimo jogo, sorte que o time do outro lado é muito fraco

Fora Diniz",2024-05-01T21:02:55.000Z
Thiagoᶠᶠᶜ,@thg_quintella,,,,,https://twitter.com/thg_quintella/status/1785776728574403025,https://twitter.com/thg_quintella,"Graças as improvisações do diniz pode-se tirar pouca coisa desse jogo, uma das únicas é o felipe andrade, nosso melhor zagueiro.",2024-05-01T21:02:04.000Z
Léo,@Leo_FFC1902,,,,,https://twitter.com/Leo_FFC1902/status/1785777326212403213,https://twitter.com/Leo_FFC1902,"ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!",2024-05-01T21:04:27.000Z
Gb,@Gbmaiaffc,,,,,https://twitter.com/Gbmaiaffc/status/1785776746358345884,https://twitter.com/Gbmaiaffc,"Fez o mínimo
jogou porra nenhuma",2024-05-01T21:02:09.000Z
Lu CAMPEÃ DA LIBERTADORES,@lumarujo,,,,,https://twitter.com/lumarujo/status/1785788646676685146,https://twitter.com/lumarujo,"Parabéns, não fez mais do que a obrigação  Felipe Andrade titular na zaga já!",2024-05-01T21:49:26.000Z
Sr Armando (do saco de farinha),@mussajk37,,,,,https://twitter.com/mussajk37/status/1785777210302861503,https://twitter.com/mussajk37,"Renato Augusto, terans e DC ainda não estrearam ....
 14 milhões no terans foi uma sacanagem sem precedentes..",2024-05-01T21:03:59.000Z
felipe freitas campani,@feippppp,,,,,https://twitter.com/feippppp/status/1785777781852311588,https://twitter.com/feippppp,é inacreditável o fato do felipe andrade ser reserva pra felipe melo e manoel kkkkk o cara é o melhor zagueiro do time!!!,2024-05-01T21:06:15.000Z
Pedroᶠᶠᶜ,@pedka_,,,,,https://twitter.com/pedka_/status/1785776801039384654,https://twitter.com/pedka_,"obrigação, mas boa vitória

felipe andrade tem q ser titular, terans jogou bem hoje

renato completamente inexistente, assim como o kauã elias, muito mal os 2",2024-05-01T21:02:22.000Z
Peagá (4/45),@Phd14s,,,,,https://twitter.com/Phd14s/status/1785776522332168668,https://twitter.com/Phd14s,"Finalmente uma vitória hein, vamos ver se agora ganham de um time da série A",2024-05-01T21:01:15.000Z
Tricolor de Alma,@Edfluzao1,,,,,https://twitter.com/Edfluzao1/status/1785776955003941117,https://twitter.com/Edfluzao1,"Mais um jogo ruim de Diniz
Antonio Carlos tem q jogar no olaria
Kauan elias pode voltar p sub 20",2024-05-01T21:02:58.000Z
Tricolor de Alma,@Edfluzao1,,,,,https://twitter.com/Edfluzao1/status/1785776955003941117,https://twitter.com/Edfluzao1,"Mais um jogo ruim de Diniz
Antonio Carlos tem q jogar no olaria
Kauan elias pode voltar p sub 20",2024-05-01T21:02:58.000Z
Carioca,@_CariocaFlu,,,,,https://twitter.com/_CariocaFlu/status/1785777012415627404,https://twitter.com/_CariocaFlu,Fez o mínimo aceitável pra ter como poupar na volta também... pelo menos isso da pra arrumar.,2024-05-01T21:03:12.000Z
Niko,@Nicolas997,,,,,https://twitter.com/Nicolas997/status/1785776750196146280,https://twitter.com/Nicolas997,"Primeira vez esse ano que fico puto com a vitoria do flu esse ano, ganhamos, mas perdemos MTS chances claras. demora pra fazer as mexidas . confesso que n me convenceu nem um pouco contra o galo.",2024-05-01T21:02:10.000Z
Gbᶠᶠᶜ,@ffcgabrieeel,,,,,https://twitter.com/ffcgabrieeel/status/1785776710723518838,https://twitter.com/ffcgabrieeel,"não fez mais que a obrigação, seguimos.",2024-05-01T21:02:00.000Z
Gustavo Marchiori,@gmarchiori,,,,,https://twitter.com/gmarchiori/status/1785787814254195197,https://twitter.com/gmarchiori,Até o Árias tá ficando perdido já nesse time. Não tem uma jogada treinada. Só treinam tocar a bola e quando estão com ela não sabem o que fazer.,2024-05-01T21:46:07.000Z
Pedrinho,@HenrySullivan,,,,,https://twitter.com/HenrySullivan/status/1785776505219399951,https://twitter.com/HenrySullivan,"Todos de acordo que o Felipe Andrade não deve sair do time titular NUNCA MAIS, certo?",2024-05-01T21:01:11.000Z
felipeᶠᶠᶜ,@pinheirofelipeq,,,,,https://twitter.com/pinheirofelipeq/status/1785776560143732923,https://twitter.com/pinheirofelipeq,não fez mais do que a sua obrigação.,2024-05-01T21:01:24.000Z
Sandro Monteiro,@SandroMont,,,,,https://twitter.com/SandroMont/status/1785779765019918535,https://twitter.com/SandroMont,Lição de casa feita. O verdadeiro teste é sábado. Eu ainda acredito.,2024-05-01T21:14:08.000Z
BisNext,@FASBisneto,,,,,https://twitter.com/FASBisneto/status/1785776775227654600,https://twitter.com/FASBisneto,"Boa, vamos dar a volta por cima!",2024-05-01T21:02:15.000Z
Mario Bittencourt,@MarioBitcoin_,,,,,https://twitter.com/MarioBitcoin_/status/1785776979381227710,https://twitter.com/MarioBitcoin_,"torcida e time, precisamos mudar essa fase! sábado é cariacica lotado e VITORIA nessa porra, voltar as vitórias.",2024-05-01T21:03:04.000Z
vivis,@vivisffc,,,,,https://twitter.com/vivisffc/status/1785776788100067429,https://twitter.com/vivisffc,parabéns por fazer a sua obrigação mas não convenceu ninguém,2024-05-01T21:02:19.000Z
Rafael Fragata,@RafaelFragata4,,,,,https://twitter.com/RafaelFragata4/status/1785778558436044817,https://twitter.com/RafaelFragata4,Mais um jogo ridículo... Graças a Deus era o Glorioso Sampaio Corrêa na copa do Brasil.,2024-05-01T21:09:21.000Z
CAMPEÃO DA AMÉRICA,@DanielBernar,,,,,https://twitter.com/DanielBernar/status/1785777384752382018,https://twitter.com/DanielBernar,"Muito bem, melhorou de péssimo pro ruim.",2024-05-01T21:04:41.000Z
B Medeiros,@BenildoMedeiros,,,,,https://twitter.com/BenildoMedeiros/status/1786071124763119921,https://twitter.com/BenildoMedeiros,"Que bom que venceu e que tivemos lguns chutes a gol, mas como chutam mal em? Será quem alguém ai treina finalização?",2024-05-02T16:31:54.000Z
Luís Felipe Quitete,@lfquitete,,,,,https://twitter.com/lfquitete/status/1785776914780602864,https://twitter.com/lfquitete,que atuação fraca e podre contra uma time da SÉRIE C! Falta tesão nesse time.,2024-05-01T21:02:49.000Z
RAPHAEL COUTO (@rcoutogames),@rcoutogames,,,,,https://twitter.com/rcoutogames/status/1785779103368352154,https://twitter.com/rcoutogames,"Temos que ser sinceros, com toda humildade o Sampaio Correia não serve pra parâmetro né ...... Mas estou feliz com a vitória",2024-05-01T21:11:31.000Z
fran chaves,@franchaves131,,,,,https://twitter.com/franchaves131/status/1785778842121982113,https://twitter.com/franchaves131,Fim de jogo Fluzão goleia o Sampaio correia da terceira divisão que vendeu seu mando de campo. Senhor tem como o adiar a próxima partida do fluminense contra o Atlético MG. Amém  obrigado,2024-05-01T21:10:28.000Z
Hugo Amadoᶠᶠᶜ,@maxim_hugo7,,,,,https://twitter.com/maxim_hugo7/status/1785776552057192618,https://twitter.com/maxim_hugo7,"Venceu, mas que jogo feio ein. Vamos melhorar isso aí.",2024-05-01T21:01:22.000Z
Juliana,@masalaju,,,,,https://twitter.com/masalaju/status/1785776644722176508,https://twitter.com/masalaju,parabéns por fazer a obrigação,2024-05-01T21:01:44.000Z
mal encarnado,@PedrorHenrique_,,,,,https://twitter.com/PedrorHenrique_/status/1785776491441111499,https://twitter.com/PedrorHenrique_,"jogo sofrível de se ver

não fizeram mais do que a obrigação",2024-05-01T21:01:08.000Z
Louco da cabeça,@OliYago11,,,,,https://twitter.com/OliYago11/status/1785777241894354998,https://twitter.com/OliYago11,"Foi uma vitória melancólica, que jogo horroroso, cara. Mas pelo menos venceu, isso que importa.",2024-05-01T21:04:07.000Z
Hugo Amadoᶠᶠᶜ,@maxim_hugo7,,,,,https://twitter.com/maxim_hugo7/status/1785776552057192618,https://twitter.com/maxim_hugo7,"Venceu, mas que jogo feio ein. Vamos melhorar isso aí.",2024-05-01T21:01:22.000Z
Juliana,@masalaju,,,,,https://twitter.com/masalaju/status/1785776644722176508,https://twitter.com/masalaju,parabéns por fazer a obrigação,2024-05-01T21:01:44.000Z
mal encarnado,@PedrorHenrique_,,,,,https://twitter.com/PedrorHenrique_/status/1785776491441111499,https://twitter.com/PedrorHenrique_,"jogo sofrível de se ver

não fizeram mais do que a obrigação",2024-05-01T21:01:08.000Z
Louco da cabeça,@OliYago11,,,,,https://twitter.com/OliYago11/status/1785777241894354998,https://twitter.com/OliYago11,"Foi uma vitória melancólica, que jogo horroroso, cara. Mas pelo menos venceu, isso que importa.",2024-05-01T21:04:07.000Z
Trico_Luh,@Trico_Luh,,,,,https://twitter.com/Trico_Luh/status/1785776650472267854,https://twitter.com/Trico_Luh,Não fez mais que sua obrigação e mesmo assim foi um jogo sofrível pro torcedor,2024-05-01T21:01:46.000Z
Carlos Vasques,@CarlosV07338462,,,,,https://twitter.com/CarlosV07338462/status/1785863183246200993,https://twitter.com/CarlosV07338462,"@TimeDiniz @oflumedomina @phganso @MarceloM12 @jhonariasa @Germancanoofi
 BOA NOITE,
VENCEMOS MAIS Ñ CONVENCEMOS.
O PRÓXIMO ADVERSÁRIO É O TIME Q ESTA JOGANDO O MELHOR FUTEBOL ATUALMENTE,
SE JOGARMOS ESSA BOLINHA VAMOS LEVAR OUTRA GOLEADA C/CONTRA O CORINTHIANS.",2024-05-02T02:45:37.000Z
Sandro Monteiro,@SandroMont,,,,,https://twitter.com/SandroMont/status/1785780180948001227,https://twitter.com/SandroMont,Fora Renato Augusto,2024-05-01T21:15:47.000Z
Rafael,@Ricciardi_Ffc,,,,,https://twitter.com/Ricciardi_Ffc/status/1785781392988574069,https://twitter.com/Ricciardi_Ffc,"obrigação, jogaram nada como de costume ja",2024-05-01T21:20:36.000Z
Ana Carol Diniz,@ancdiniz,,,,,https://twitter.com/ancdiniz/status/1785779335913177406,https://twitter.com/ancdiniz,Atuação fraca. Ok para o resultado. Positivo: descansamos os titulares.,2024-05-01T21:12:26.000Z
who| campeã da libertas,@BrunoyFluzon,,,,,https://twitter.com/BrunoyFluzon/status/1785776822128406784,https://twitter.com/BrunoyFluzon,parabéns por fazer metade da sua obrigação,2024-05-01T21:02:27.000Z
MT,@mtroosevelt1,,,,,https://twitter.com/mtroosevelt1/status/1785776492049223687,https://twitter.com/mtroosevelt1,"@Atletico, O próximo é vocês, o FLUZAO VOLTOU, HEIN! HAJAHAHAAH",2024-05-01T21:01:08.000Z
tetewebnews,@htinhaester,,,,,https://twitter.com/htinhaester/status/1785786957722787888,https://twitter.com/htinhaester,jogo feiao flu que isso mas que bom que venceu né,2024-05-01T21:42:43.000Z
REI DA AMÉRICA,@goldocano_14,,,,,https://twitter.com/goldocano_14/status/1785776927116087563,https://twitter.com/goldocano_14,venceu mas não convenceu…,2024-05-01T21:02:52.000Z
Will Souza,@Will_Souzaofici,,,,,https://twitter.com/Will_Souzaofici/status/1785792098639172078,https://twitter.com/Will_Souzaofici,O time venceu e os malucos reclamando,2024-05-01T22:03:09.000Z
Lucas Oliveira,@lucastyfoliveir,,,,,https://twitter.com/lucastyfoliveir/status/1785777408865399076,https://twitter.com/lucastyfoliveir,"Antônio Carlos não é jogador profissional, que maluco tenebroso!!!",2024-05-01T21:04:47.000Z
Rodrigo Silva,@Rodrigo007Silva,,,,,https://twitter.com/Rodrigo007Silva/status/1785777024499392574,https://twitter.com/Rodrigo007Silva,"Ratificando e reforçando, com esse futebol vai ser eliminado de tudo e brigar pra não cair, vai ser um Deus nos acuda contra o galo com marquinhos na direita.",2024-05-01T21:03:15.000Z
Marcus Vinicius,@MarcusV95781034,,,,,https://twitter.com/MarcusV95781034/status/1785779855151288622,https://twitter.com/MarcusV95781034,"Eu amo muito você, @FluminenseFC , mesmo passando raiva com esse jogo horroroso",2024-05-01T21:14:30.000Z
mar¡a c!ara;,@PJIM7N,,,,,https://twitter.com/PJIM7N/status/1785777968758792217,https://twitter.com/PJIM7N,não lembro a última vez que vi um post de vitória fluminense,2024-05-01T21:07:00.000Z
A melhor e mais bonita torcida do mundo,@ObservadorNato8,,,,,https://twitter.com/ObservadorNato8/status/1785778458787799131,https://twitter.com/ObservadorNato8,"Muita obrigação!

Não muda nada.

O jogo contra o Pequeno Peter CAM que vai valer.

Aguardemos!",2024-05-01T21:08:57.000Z
Fernando,@Bansuke3008,,,,,https://twitter.com/Bansuke3008/status/1785776994447241697,https://twitter.com/Bansuke3008,No Google tá mostrando que foi gol do Terans kkkkkkkk,2024-05-01T21:03:08.000Z
arnaud,@arnaudribeiro1,,,,,https://twitter.com/arnaudribeiro1/status/1785837788379632095,https://twitter.com/arnaudribeiro1,Poderíamos contratar o Thiago Alcântara que em junho sai de graça pra qualquer clube,2024-05-02T01:04:42.000Z
bruno CAMPEÃO DA AMÉRICA,@moraes_bms,,,,,https://twitter.com/moraes_bms/status/1785777025455661480,https://twitter.com/moraes_bms,Não fez mais que obrigação. E ainda tinha que ter feito mais,2024-05-01T21:03:15.000Z
Farrael,@rafaviana_ffc,,,,,https://twitter.com/rafaviana_ffc/status/1785776760732135630,https://twitter.com/rafaviana_ffc,Não fez mais do que a sua obrigação,2024-05-01T21:02:12.000Z
Marcos Vinicius,@Markosvs95,,,,,https://twitter.com/Markosvs95/status/1786054524462842268,https://twitter.com/Markosvs95,Sera que o diniz vai parar de improvisar o Martinelli??,2024-05-02T15:25:56.000Z
Rúben Elienai,@rubeneelienai,,,,,https://twitter.com/rubeneelienai/status/1785777735865897107,https://twitter.com/rubeneelienai,Felipe Andrade é muito titular nessa zaga,2024-05-01T21:06:05.000Z
di,@whosinurhead,,,,,https://twitter.com/whosinurhead/status/1785779873723650094,https://twitter.com/whosinurhead,Não fez mais que a obrigação,2024-05-01T21:14:34.000Z
arthur ᶠᶠᶜ,@ArthurSerqueira,,,,,https://twitter.com/ArthurSerqueira/status/1785776576044454180,https://twitter.com/ArthurSerqueira,"oh gloria, continuar trabalhando pra melhorar. vamo q vamo",2024-05-01T21:01:28.000Z
Daniel ᶠᶠᶜ,@vieirax1902,,,,,https://twitter.com/vieirax1902/status/1785777360903557327,https://twitter.com/vieirax1902,"O mínimo de hoje era a vitória, mas continua um futebol feio de se assistir",2024-05-01T21:04:35.000Z
cLLara,@cllaraffc,,,,,https://twitter.com/cllaraffc/status/1785777678403981503,https://twitter.com/cllaraffc,não fez mais que a obrigação,2024-05-01T21:05:51.000Z
Ricardo Fialho,@FialhoFluzao,,,,,https://twitter.com/FialhoFluzao/status/1785776970967457918,https://twitter.com/FialhoFluzao,"Time bosta em campo, não fez mais que obrigação vencer e não convenceu.",2024-05-01T21:03:02.000Z
#ForaDiniz,@bemenasche1998,,,,,https://twitter.com/bemenasche1998/status/1785776432167166231,https://twitter.com/bemenasche1998,Não fizeram mais do que a obrigação,2024-05-01T21:00:54.000Z
Mvᶠᶠᶜ,@shownorza,,,,,https://twitter.com/shownorza/status/1785814828155564361,https://twitter.com/shownorza,kkkkkk vai aprender a jogar futebol não????,2024-05-01T23:33:28.000Z
Dom Romero,@DomRomero84,,,,,https://twitter.com/DomRomero84/status/1785776576325431368,https://twitter.com/DomRomero84,Fogo feio da porra,2024-05-01T21:01:28.000Z
lexi,@doreesoul,,,,,https://twitter.com/doreesoul/status/1785778159675232733,https://twitter.com/doreesoul,DIVA POSTA MAIS FOTO DE HOJE ANTES DO JOGO EU QUERO ME VER,2024-05-01T21:07:46.000Z
murilo,@ecbmurilo_,,,,,https://twitter.com/ecbmurilo_/status/1785782397901971894,https://twitter.com/ecbmurilo_,pq o jogo foi no espírito santo?,2024-05-01T21:24:36.000Z
luiz,@luizzslva,,,,,https://twitter.com/luizzslva/status/1785858534720106551,https://twitter.com/luizzslva,@takasffc fala dele agora,2024-05-02T02:27:08.000Z
Felipe Jenny,@Felipejenny_,,,,,https://twitter.com/Felipejenny_/status/1785777709471166774,https://twitter.com/Felipejenny_,Que coisa feia meu Deus,2024-05-01T21:05:58.000Z
Rodrigo,@rogo32_,,,,,https://twitter.com/rogo32_/status/1785791179231031567,https://twitter.com/rogo32_,PRECISA MELHORAR ESSE DESEMPENHO.,2024-05-01T21:59:30.000Z
30,@biel30ffc,,,,,https://twitter.com/biel30ffc/status/1785779788021457355,https://twitter.com/biel30ffc,se jogar mal toda vez assim e vencer ta bom,2024-05-01T21:14:14.000Z
Luiz Eduardo,@Eduvalcante,,,,,https://twitter.com/Eduvalcante/status/1785990844719194329,https://twitter.com/Eduvalcante,"Já não bastasse a gafe na camisa de Renato AGUSTO, o Fluminense nem se dá ao luxo de olhar a súmula do jogo. O juiz deu, erradamente, mas deu, gol do TERANS, e não do Lima. Muito amadorismo...",2024-05-02T11:12:54.000Z
pauly futura enfermeira de saúde da família,@defshades,,,,,https://twitter.com/defshades/status/1785808720326283304,https://twitter.com/defshades,"aumento pro arias, urgente",2024-05-01T23:09:12.000Z
Joseph Castro,@JosephC06913575,,,,,https://twitter.com/JosephC06913575/status/1785792747871273170,https://twitter.com/JosephC06913575,Venceu? Venceu! Convenceu? Não,2024-05-01T22:05:44.000Z
𝕵𝖔𝖌𝖆𝖉𝖔𝖗 𝖇𝖔𝖑𝖆 𝖉𝖊 𝖔𝖚𝖗𝖔,@yuri_okl14,,,,,https://twitter.com/yuri_okl14/status/1785776552313081973,https://twitter.com/yuri_okl14,Pouco ainda era pra ter sido uns 5x0 TEM QUE MELHORAR,2024-05-01T21:01:22.000Z
julia,@liaju_ffc,,,,,https://twitter.com/liaju_ffc/status/1785777550234460352,https://twitter.com/liaju_ffc,não fez mais que a obrigação meu parceiro,2024-05-01T21:05:20.000Z
jpzin,@jp_medeiroos,,,,,https://twitter.com/jp_medeiroos/status/1785777107760525686,https://twitter.com/jp_medeiroos,parabéns por fzr o mínimo,2024-05-01T21:03:35.000Z
lucas,@lukazinffc,,,,,https://twitter.com/lukazinffc/status/1785778577117421683,https://twitter.com/lukazinffc,"Fizeram a obrigação, 2x0 foi o mínimo",2024-05-01T21:09:25.000Z
Lucas Pires,@LucasPi07869408,,,,,https://twitter.com/LucasPi07869408/status/1785776847852019859,https://twitter.com/LucasPi07869408,O Lele é melhor que esse Kaua Elias,2024-05-01T21:02:33.000Z
João Victor,@JV_Franco100,,,,,https://twitter.com/JV_Franco100/status/1785780247062876362,https://twitter.com/JV_Franco100,Atuação fraca contra um time limitado.,2024-05-01T21:16:03.000Z
Vini campeão da América,@LiLN1esta,,,,,https://twitter.com/LiLN1esta/status/1785776523535847568,https://twitter.com/LiLN1esta,Agr ganha sábado tbm,2024-05-01T21:01:15.000Z
Danilo Félix,@dansfelix,,,,,https://twitter.com/dansfelix/status/1785776632092835935,https://twitter.com/dansfelix,"Tirando Arias, Martinelli e Felipe Andrade, demais pareciam jogando uma pelada. Terans é o único uruguaio chupa-sangue da história do futebol e Renato Augusto está morto com farofa, é ex-jogador. Valeu pela vitória mas o adversário não existe, time está mal demais.",2024-05-01T21:01:41.000Z
brenda ᶠᶠᶜ,@cardosorjb,,,,,https://twitter.com/cardosorjb/status/1785778331545379150,https://twitter.com/cardosorjb,parabéns pela obrigação,2024-05-01T21:08:27.000Z
Fhael,@RC_Fhael,,,,,https://twitter.com/RC_Fhael/status/1785795087034708394,https://twitter.com/RC_Fhael,"Só quem ganhou nesse jogo foi quem não viu
Jogo feio da porra",2024-05-01T22:15:01.000Z
Helton Braga,@PaiJdasalmas,,,,,https://twitter.com/PaiJdasalmas/status/1785777532568023228,https://twitter.com/PaiJdasalmas,ARIAS TA JOGANDO MUITO SEM VONTADE,2024-05-01T21:05:16.000Z
allana ᶠᶠᶜ,@lanaffc_,,,,,https://twitter.com/lanaffc_/status/1785800961690046700,https://twitter.com/lanaffc_,"n convenceu, mas venceu",2024-05-01T22:38:22.000Z
Maria Eduarda,@tremfernandes,,,,,https://twitter.com/tremfernandes/status/1785776454795505677,https://twitter.com/tremfernandes,"caralho um refresco, obg aí",2024-05-01T21:00:59.000Z
𝓛𝓪 𝓥𝓲𝓿𝓪𝓼 ♌︎☀︎ ✡︎,@LaVivasoy,,,,,https://twitter.com/LaVivasoy/status/1785784792044204466,https://twitter.com/LaVivasoy,Saudações Tricolores!,2024-05-01T21:34:07.000Z
jacy,@wxjacy,,,,,https://twitter.com/wxjacy/status/1785777984739086615,https://twitter.com/wxjacy,fizeram o MINIMO parabéns,2024-05-01T21:07:04.000Z
CAMPEÃO DA AMÉRICA,@nycollasffc,,,,,https://twitter.com/nycollasffc/status/1785776420217598026,https://twitter.com/nycollasffc,"vence, agora só falta convencer",2024-05-01T21:00:51.000Z
Vieira,@f_f_c22,,,,,https://twitter.com/f_f_c22/status/1785776661696270820,https://twitter.com/f_f_c22,Obrigado,2024-05-01T21:01:48.000Z
sotnas,@thamysotnas,,,,,https://twitter.com/thamysotnas/status/1785779218183254395,https://twitter.com/thamysotnas,se não ganhasse tbm né..,2024-05-01T21:11:58.000Z
victoria,@tuitafox,,,,,https://twitter.com/tuitafox/status/1785776570843431027,https://twitter.com/tuitafox,venceu mas não convenceu,2024-05-01T21:01:27.000Z
Leal ᶠᶠᶜ,@Dnleall,,,,,https://twitter.com/Dnleall/status/1785778436935467330,https://twitter.com/Dnleall,Parabéns pra torcida do ES,2024-05-01T21:08:52.000Z
Cami ¹⁴ RENEGADE,@jktricolor9,,,,,https://twitter.com/jktricolor9/status/1785777758091579516,https://twitter.com/jktricolor9,automaticamente volto a me iludir,2024-05-01T21:06:10.000Z
marilia,@daltromariliaa,,,,,https://twitter.com/daltromariliaa/status/1785778206072508522,https://twitter.com/daltromariliaa,oxe mas o gol n foi do terans?,2024-05-01T21:07:57.000Z
Cesar Guimaraes,@CesarGuimaraes4,,,,,https://twitter.com/CesarGuimaraes4/status/1785776573372563793,https://twitter.com/CesarGuimaraes4,VAMOOOOOS! NENSEEEEEE,2024-05-01T21:01:27.000Z
Francharles Neves Evaristo,@FrancharlesE,,,,,https://twitter.com/FrancharlesE/status/1785778914909888801,https://twitter.com/FrancharlesE,"Toda vez que ficou na toqueira sem objetividade deu merda, fica a dica.",2024-05-01T21:10:46.000Z
slipknot belford roxo,@vitib1,,,,,https://twitter.com/vitib1/status/1785776890860425459,https://twitter.com/vitib1,"jogo de merda, parabéns aos envolvidos",2024-05-01T21:02:43.000Z
São Castilho,@sofaloFlu,,,,,https://twitter.com/sofaloFlu/status/1785776515399012825,https://twitter.com/sofaloFlu,não fez mais que a obrigação,2024-05-01T21:01:14.000Z
FFC Luan,@LuanVitorfelix3,,,,,https://twitter.com/LuanVitorfelix3/status/1785776554456285501,https://twitter.com/LuanVitorfelix3,Vence mas não convence.,2024-05-01T21:01:23.000Z
Bru¹⁹⁰²,@brunaazzx,,,,,https://twitter.com/brunaazzx/status/1785777025942265871,https://twitter.com/brunaazzx,mais q obrigação!,2024-05-01T21:03:15.000Z
Jordan Gonzalez,@JordiCDM,,,,,https://twitter.com/JordiCDM/status/1785777371653570899,https://twitter.com/JordiCDM,Equipo chico,2024-05-01T21:04:38.000Z
Eduardo Gonçalves,@Eduardo65987156,,,,,https://twitter.com/Eduardo65987156/status/1785782854242242941,https://twitter.com/Eduardo65987156,Gol foi do Terans !,2024-05-01T21:26:25.000Z
victoria,@tuitafox,,,,,https://twitter.com/tuitafox/status/1785776570843431027,https://twitter.com/tuitafox,venceu mas não convenceu,2024-05-01T21:01:27.000Z
Leal ᶠᶠᶜ,@Dnleall,,,,,https://twitter.com/Dnleall/status/1785778436935467330,https://twitter.com/Dnleall,Parabéns pra torcida do ES,2024-05-01T21:08:52.000Z
Cami ¹⁴ RENEGADE,@jktricolor9,,,,,https://twitter.com/jktricolor9/status/1785777758091579516,https://twitter.com/jktricolor9,automaticamente volto a me iludir,2024-05-01T21:06:10.000Z
marilia,@daltromariliaa,,,,,https://twitter.com/daltromariliaa/status/1785778206072508522,https://twitter.com/daltromariliaa,oxe mas o gol n foi do terans?,2024-05-01T21:07:57.000Z
Cesar Guimaraes,@CesarGuimaraes4,,,,,https://twitter.com/CesarGuimaraes4/status/1785776573372563793,https://twitter.com/CesarGuimaraes4,VAMOOOOOS! NENSEEEEEE,2024-05-01T21:01:27.000Z
